,image_name,x1,x2,y1,y2
0,1474723840903DSC08089.png,271.26675,493.08325,77.58963,484.16904
1,1473231475010DeeplearnS11276.png,84.87645,661.9374,174.16315,422.4873
2,JPEG_20161205_135307_1000155917326.png,167.71362,402.4494,33.71569,414.38043
3,JPEG_20160711_123440_1000518778437.png,150.55566,448.82343,96.73102,387.08878
4,JPEG_20160803_115329_100034020722.png,136.4271,478.7824,76.69526,407.07028
5,147444974116511473239803010-Mast--Harbour-Men-Blue-Printed-Regular-Boat-Shoes-3651473239802717-2.png,180.83849,716.00964,129.57527,490.52582
6,JPEG_20160622_110649_1000527459853.png,116.32039,572.3984,124.59407,380.99435
7,JPEG_20160823_120737_1000784898268.png,119.86725,567.66974,70.360275,453.9416
8,1480965956645IMG_3094.png,250.3959,456.3837,113.41324,438.49393
9,14732348976417a565e40d545452688130062b267a2d2.png,133.17102,579.30273,120.26781,386.6119
10,1474723374370DSC07852.png,223.7895,474.1933,31.569145,462.81635
11,JPEG_20160820_111118_100011668802.png,148.51186,469.56506,105.8929,361.91196
12,JPEG_20160706_105226_100087855419.png,111.25645,481.46045,112.874596,328.9262
13,JPEG_20160621_155839_100073846506.png,164.58109,485.83154,94.60041,394.9075
14,1480940089861_R2A1904.png,241.98227,601.77094,149.58601,530.52747
15,1474637513144DSC06780.png,215.25917,501.6763,81.71711,435.3559
16,JPEG_20161123_170015_1000183903221.png,190.2909,590.5036,87.55499,452.8462
17,JPEG_20161205_152655_1000319785884.png,103.72959,531.2769,96.9314,371.67795
18,14806550588121473324459p2-500x500.png,168.81451,485.1961,56.19156,410.57684
19,JPEG_20160913_110021_1000554801748.png,148.60913,649.1609,163.29375,421.90915
20,JPEG_20161028_113656_1000884495593.png,115.258255,506.11823,83.74762,425.24042
21,1480485006674IMG_20161129_181135.png,75.39841,686.2027,92.030266,448.8874
22,1468666217374JPEG_20160712_164026_1000951901481.png,58.67599,464.92957,125.58882,301.1435
23,1475159286472DSC08150.png,212.29047,514.5527,108.66447,457.40576
24,1473662770499DeeplearnS11593.png,46.1544,669.4712,46.602444,535.11084
25,JPEG_20161121_172423_1000451802749.png,107.075714,488.64703,118.714745,370.24445
26,JPEG_20160711_112635_1000386061474.png,148.08478,470.49927,114.06266,347.13803
27,JPEG_20161125_170806_1000294132098.png,157.08768,516.1609,92.98217,404.2772
28,1473664771684DeeplearnS11641.png,80.915535,705.9197,171.77094,487.78873
29,JPEG_20161125_142000_1000881308475.png,116.90476,555.66174,107.04434,420.4048
30,JPEG_20161118_130619_1000234318180.png,162.66258,537.6616,62.37993,442.76422
31,JPEG_20161126_173920_1000722732321.png,103.47946,638.93567,104.533615,451.97385
32,1480965914378IMG_3091.png,221.13626,580.1575,221.04457,468.64255
33,JPEG_20161028_113801_1000834228994.png,137.15825,480.63718,80.07573,416.13858
34,JPEG_20160527_132045_1000754722948.png,171.3577,495.3305,114.818924,375.64618
35,1474630500639DSC08168.png,101.48727,568.85205,62.205242,455.63217
36,1480604337122_R2A5871.png,231.96074,575.10693,78.43156,395.1199
37,JPEG_20160526_131015_1000774672877.png,147.5033,544.8642,73.948,462.83466
38,JPEG_20161124_133820_1000408773191.png,217.67143,532.5091,28.69254,498.0911
39,JPEG_20161202_175058_1000981167934.png,78.50982,512.10876,143.38614,322.8706
40,JPEG_20160628_125830_1000217908431.png,113.96034,623.5108,147.124,445.14914
41,JPEG_20160820_160507_1000249071692.png,76.66707,501.01303,135.21123,310.38965
42,JPEG_20160805_183420_1000172602371.png,142.09146,550.80615,116.40248,377.41678
43,JPEG_20161130_165327_1000403284746.png,-10.5373955,587.0425,136.66318,420.44598
44,JPEG_20160607_164241_1000166500949.png,148.01865,484.94135,119.46383,365.36545
45,JPEG_20160625_121426_1000756352197.png,122.42649,656.2391,166.32129,410.31363
46,147771816901820161028_154719.png,41.206757,635.95544,134.3502,447.09372
47,JPEG_20161011_163049_1000951839162.png,130.26942,480.92197,121.0948,356.40088
48,JPEG_20161117_185714_1000710683582.png,146.67416,527.08105,101.483086,424.35406
49,JPEG_20161130_152547_1000951985749.png,114.8642,635.9051,130.26822,431.69907
50,JPEG_20161208_180645_1000228838877.png,163.95816,437.0893,26.571028,429.99246
51,JPEG_20161028_115228_1000768175676.png,42.11209,788.5298,193.21922,452.49597
52,JPEG_20160621_115706_1000438377463.png,164.34366,487.684,94.27993,397.0446
53,147323496557220.png,181.02576,636.1193,112.791,453.7095
54,1480962299073_R2A2486.png,237.31079,469.84747,139.85065,460.5345
55,JPEG_20160513_161529_1000492237814.png,177.05936,527.8516,108.08623,387.4331
56,JPEG_20160608_170951_1000543663668.png,68.23222,600.18774,122.60363,422.38422
57,1480950503293_R2A2117.png,262.07483,544.40765,208.1149,463.4508
58,JPEG_20160513_105913_1000783887544.png,125.08127,554.0134,101.58866,390.59302
59,JPEG_20160627_110121_1000892338177.png,145.58987,660.348,174.82222,416.65982
60,JPEG_20161130_161732_1000521112629.png,129.02443,511.0057,31.99099,436.60635
61,1472628655203w_peg_33_black_white_06.png,10.664978,731.14075,154.17781,595.5339
62,1474724035100DSC07928.png,106.783844,623.9896,131.79785,421.62964
63,1478948343994eMazingShawls3504.png,61.021267,584.5108,88.568146,464.0272
64,JPEG_20160527_155940_1000132163517.png,32.888367,567.1808,87.33559,457.53616
65,JPEG_20161130_182414_1000368542218.png,36.53004,638.0109,155.16104,357.5438
66,1475057260196DSC02318.png,185.48846,680.5163,125.60446,468.06113
67,1468825591253JPEG_20160709_133648_1000644926214.png,185.58276,487.43048,43.094894,528.30005
68,JPEG_20161124_162124_1000402091920.png,233.50923,491.59317,69.05118,462.77127
69,1470727186876DSC_0033.png,124.99337,560.9005,117.67233,404.62582
70,1480972280895IMG_3540.png,189.1044,680.4849,87.9395,589.47614
71,1475059894676DSC02408.png,80.78783,548.71515,68.77572,376.47897
72,1477720898726JPEG_20161025_124436_1000716443177.png,35.420452,578.6369,164.13016,423.59546
73,JPEG_20160526_170617_1000933339568.png,108.95797,507.21295,73.148125,406.917
74,JPEG_20161125_202134_1000687750117.png,184.16565,683.32367,196.4287,455.73984
75,1475152491002DSC00720.png,211.49432,476.25275,77.91604,441.3069
76,1473660682142DeeplearnS11986.png,172.03682,667.9796,129.002,455.56995
77,1475064313641DSC00251.png,226.86783,501.77667,102.24226,486.05838
78,1474722975745DSC07865.png,130.84886,430.07178,5.39762,403.66217
